pin,slack
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/readWidthConv/genblk1.widthConvrd/FIXED_MASTER_RDATA_next[2]:Q,6053
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/readWidthConv/genblk1.widthConvrd/FIXED_MASTER_RDATA_next[2]:SLn,1876
FIC_0_PERIPHERALS_1/DMA_INITIATOR_inst_0/DMA_INITIATOR_0/SlvConvertor_loop[0].slvcnv/rgsl/genblk2.arrs/sDat_18[54]:A,6156
FIC_0_PERIPHERALS_1/DMA_INITIATOR_inst_0/DMA_INITIATOR_0/SlvConvertor_loop[0].slvcnv/rgsl/genblk2.arrs/sDat_18[54]:B,6125
FIC_0_PERIPHERALS_1/DMA_INITIATOR_inst_0/DMA_INITIATOR_0/SlvConvertor_loop[0].slvcnv/rgsl/genblk2.arrs/sDat_18[54]:C,5759
FIC_0_PERIPHERALS_1/DMA_INITIATOR_inst_0/DMA_INITIATOR_0/SlvConvertor_loop[0].slvcnv/rgsl/genblk2.arrs/sDat_18[54]:Y,5759
FIC_0_PERIPHERALS_1/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_DMAController/DMATranCtrl/rdTranCtrl_inst/currState_ns_0_a2[0]:A,5217
FIC_0_PERIPHERALS_1/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_DMAController/DMATranCtrl/rdTranCtrl_inst/currState_ns_0_a2[0]:B,4354
FIC_0_PERIPHERALS_1/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_DMAController/DMATranCtrl/rdTranCtrl_inst/currState_ns_0_a2[0]:C,2061
FIC_0_PERIPHERALS_1/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_DMAController/DMATranCtrl/rdTranCtrl_inst/currState_ns_0_a2[0]:Y,2061
FIC_0_PERIPHERALS_1/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_bufferDescriptors/ctrlRdData_d_0[4]:A,5040
FIC_0_PERIPHERALS_1/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_bufferDescriptors/ctrlRdData_d_0[4]:B,5007
FIC_0_PERIPHERALS_1/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_bufferDescriptors/ctrlRdData_d_0[4]:C,4802
FIC_0_PERIPHERALS_1/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_bufferDescriptors/ctrlRdData_d_0[4]:D,4771
FIC_0_PERIPHERALS_1/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_bufferDescriptors/ctrlRdData_d_0[4]:Y,4771
FIC_0_PERIPHERALS_1/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_DMAController/DMATranCtrl/rdTranCtrl_inst/rdyToAckReg_d_0_0_a2_1:A,2770
FIC_0_PERIPHERALS_1/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_DMAController/DMATranCtrl/rdTranCtrl_inst/rdyToAckReg_d_0_0_a2_1:B,2721
FIC_0_PERIPHERALS_1/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_DMAController/DMATranCtrl/rdTranCtrl_inst/rdyToAckReg_d_0_0_a2_1:C,1545
FIC_0_PERIPHERALS_1/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_DMAController/DMATranCtrl/rdTranCtrl_inst/rdyToAckReg_d_0_0_a2_1:Y,1545
FIC_0_PERIPHERALS_1/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_DMAController/DMAArbiter_inst/DSCRPTR_CACHE/_l0.clrDataValidDscrptr_2_0_0_12[3]:A,819
FIC_0_PERIPHERALS_1/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_DMAController/DMAArbiter_inst/DSCRPTR_CACHE/_l0.clrDataValidDscrptr_2_0_0_12[3]:B,776
FIC_0_PERIPHERALS_1/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_DMAController/DMAArbiter_inst/DSCRPTR_CACHE/_l0.clrDataValidDscrptr_2_0_0_12[3]:C,732
FIC_0_PERIPHERALS_1/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_DMAController/DMAArbiter_inst/DSCRPTR_CACHE/_l0.clrDataValidDscrptr_2_0_0_12[3]:D,625
FIC_0_PERIPHERALS_1/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_DMAController/DMAArbiter_inst/DSCRPTR_CACHE/_l0.clrDataValidDscrptr_2_0_0_12[3]:Y,625
FIC_0_PERIPHERALS_1/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_AXI4INITIATORDMACtrl/dstAXIStrtAddrReg[24]:ALn,6548
FIC_0_PERIPHERALS_1/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_AXI4INITIATORDMACtrl/dstAXIStrtAddrReg[24]:CLK,3171
FIC_0_PERIPHERALS_1/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_AXI4INITIATORDMACtrl/dstAXIStrtAddrReg[24]:D,3892
FIC_0_PERIPHERALS_1/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_AXI4INITIATORDMACtrl/dstAXIStrtAddrReg[24]:EN,5182
FIC_0_PERIPHERALS_1/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_AXI4INITIATORDMACtrl/dstAXIStrtAddrReg[24]:Q,3171
FIC_3_PERIPHERALS_1/MIV_IHC_C0_0/MIV_IHC_C0_0/miv_ihc_core_0/addr_mux_0/RDATA_i_i_0_a2_0[3]:A,13109
FIC_3_PERIPHERALS_1/MIV_IHC_C0_0/MIV_IHC_C0_0/miv_ihc_core_0/addr_mux_0/RDATA_i_i_0_a2_0[3]:B,14867
FIC_3_PERIPHERALS_1/MIV_IHC_C0_0/MIV_IHC_C0_0/miv_ihc_core_0/addr_mux_0/RDATA_i_i_0_a2_0[3]:C,9484
FIC_3_PERIPHERALS_1/MIV_IHC_C0_0/MIV_IHC_C0_0/miv_ihc_core_0/addr_mux_0/RDATA_i_i_0_a2_0[3]:D,12004
FIC_3_PERIPHERALS_1/MIV_IHC_C0_0/MIV_IHC_C0_0/miv_ihc_core_0/addr_mux_0/RDATA_i_i_0_a2_0[3]:Y,9484
FIC_0_PERIPHERALS_1/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_DMAController/DMAStartCtrl_inst/ldDscrptr:A,1533
FIC_0_PERIPHERALS_1/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_DMAController/DMAStartCtrl_inst/ldDscrptr:B,1496
FIC_0_PERIPHERALS_1/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_DMAController/DMAStartCtrl_inst/ldDscrptr:C,1430
FIC_0_PERIPHERALS_1/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_DMAController/DMAStartCtrl_inst/ldDscrptr:D,1375
FIC_0_PERIPHERALS_1/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_DMAController/DMAStartCtrl_inst/ldDscrptr:Y,1375
MMUART_3_RXD_F2M_ibuf/U_IOPAD:PAD,
MMUART_3_RXD_F2M_ibuf/U_IOPAD:Y,
FIC_0_PERIPHERALS_1/MSS_LSRAM_inst_0/COREAXI4SRAM_0/genblk1.U_MSS_LSRAM_COREAXI4SRAM_0_CoreAXI4SRAM_MAINCTRL/genblk2.genblk2.rdata_mc_r[28]:ALn,6548
FIC_0_PERIPHERALS_1/MSS_LSRAM_inst_0/COREAXI4SRAM_0/genblk1.U_MSS_LSRAM_COREAXI4SRAM_0_CoreAXI4SRAM_MAINCTRL/genblk2.genblk2.rdata_mc_r[28]:CLK,5344
FIC_0_PERIPHERALS_1/MSS_LSRAM_inst_0/COREAXI4SRAM_0/genblk1.U_MSS_LSRAM_COREAXI4SRAM_0_CoreAXI4SRAM_MAINCTRL/genblk2.genblk2.rdata_mc_r[28]:D,4189
FIC_0_PERIPHERALS_1/MSS_LSRAM_inst_0/COREAXI4SRAM_0/genblk1.U_MSS_LSRAM_COREAXI4SRAM_0_CoreAXI4SRAM_MAINCTRL/genblk2.genblk2.rdata_mc_r[28]:EN,6078
FIC_0_PERIPHERALS_1/MSS_LSRAM_inst_0/COREAXI4SRAM_0/genblk1.U_MSS_LSRAM_COREAXI4SRAM_0_CoreAXI4SRAM_MAINCTRL/genblk2.genblk2.rdata_mc_r[28]:Q,5344
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/readWidthConv/rdCmdFifoWriteCtrl/un1_unaligned_fixed_len_iter_1_axb_3:A,4963
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/readWidthConv/rdCmdFifoWriteCtrl/un1_unaligned_fixed_len_iter_1_axb_3:B,4919
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/readWidthConv/rdCmdFifoWriteCtrl/un1_unaligned_fixed_len_iter_1_axb_3:C,2294
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/readWidthConv/rdCmdFifoWriteCtrl/un1_unaligned_fixed_len_iter_1_axb_3:D,134
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/readWidthConv/rdCmdFifoWriteCtrl/un1_unaligned_fixed_len_iter_1_axb_3:Y,134
FIC_0_PERIPHERALS_1/DMA_INITIATOR_inst_0/DMA_INITIATOR_0/MstConvertor_loop[0].mstrconv/mstrDWC/genblk1.MstUpConv/DWC_BChan/genblk1.brespCtrl/MASTER_BRESP_next_2_sqmuxa_1_RNIOO6141:A,5980
FIC_0_PERIPHERALS_1/DMA_INITIATOR_inst_0/DMA_INITIATOR_0/MstConvertor_loop[0].mstrconv/mstrDWC/genblk1.MstUpConv/DWC_BChan/genblk1.brespCtrl/MASTER_BRESP_next_2_sqmuxa_1_RNIOO6141:B,4964
FIC_0_PERIPHERALS_1/DMA_INITIATOR_inst_0/DMA_INITIATOR_0/MstConvertor_loop[0].mstrconv/mstrDWC/genblk1.MstUpConv/DWC_BChan/genblk1.brespCtrl/MASTER_BRESP_next_2_sqmuxa_1_RNIOO6141:C,4967
FIC_0_PERIPHERALS_1/DMA_INITIATOR_inst_0/DMA_INITIATOR_0/MstConvertor_loop[0].mstrconv/mstrDWC/genblk1.MstUpConv/DWC_BChan/genblk1.brespCtrl/MASTER_BRESP_next_2_sqmuxa_1_RNIOO6141:D,4936
FIC_0_PERIPHERALS_1/DMA_INITIATOR_inst_0/DMA_INITIATOR_0/MstConvertor_loop[0].mstrconv/mstrDWC/genblk1.MstUpConv/DWC_BChan/genblk1.brespCtrl/MASTER_BRESP_next_2_sqmuxa_1_RNIOO6141:Y,4936
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/writeWidthConv/widthConvwr/int_slaveWDATA_1_0_wmux[11]:A,-352
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/writeWidthConv/widthConvwr/int_slaveWDATA_1_0_wmux[11]:B,-1496
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/writeWidthConv/widthConvwr/int_slaveWDATA_1_0_wmux[11]:C,5278
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/writeWidthConv/widthConvwr/int_slaveWDATA_1_0_wmux[11]:D,5229
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/writeWidthConv/widthConvwr/int_slaveWDATA_1_0_wmux[11]:Y,-1496
FIC_0_PERIPHERALS_1/DMA_INITIATOR_inst_0/DMA_INITIATOR_0/MstConvertor_loop[0].mstrconv/rgsl/genblk3.rrs/holdDat[11]:ALn,6523
FIC_0_PERIPHERALS_1/DMA_INITIATOR_inst_0/DMA_INITIATOR_0/MstConvertor_loop[0].mstrconv/rgsl/genblk3.rrs/holdDat[11]:CLK,6059
FIC_0_PERIPHERALS_1/DMA_INITIATOR_inst_0/DMA_INITIATOR_0/MstConvertor_loop[0].mstrconv/rgsl/genblk3.rrs/holdDat[11]:D,6931
FIC_0_PERIPHERALS_1/DMA_INITIATOR_inst_0/DMA_INITIATOR_0/MstConvertor_loop[0].mstrconv/rgsl/genblk3.rrs/holdDat[11]:EN,5217
FIC_0_PERIPHERALS_1/DMA_INITIATOR_inst_0/DMA_INITIATOR_0/MstConvertor_loop[0].mstrconv/rgsl/genblk3.rrs/holdDat[11]:Q,6059
FIC_3_PERIPHERALS_1/CoreUARTapb_C0_0/CoreUARTapb_C0_0/un1_NxtPrdata23_0:A,15760
FIC_3_PERIPHERALS_1/CoreUARTapb_C0_0/CoreUARTapb_C0_0/un1_NxtPrdata23_0:B,15652
FIC_3_PERIPHERALS_1/CoreUARTapb_C0_0/CoreUARTapb_C0_0/un1_NxtPrdata23_0:C,16918
FIC_3_PERIPHERALS_1/CoreUARTapb_C0_0/CoreUARTapb_C0_0/un1_NxtPrdata23_0:Y,15652
